command;type;algorithm;pass;notpass;input_type;parameters_type;parameters;difficulty
firewall;words;2;cuaderno;libreta;word;numbers;8;0
firewall;words;2;árbol;león;word;numbers;5;0
firewall;words;3;camión;automóvil;word;letters;0,c,-1,n;1
firewall;numbers;0;134;99;number;numbers;100,200;0
firewall;numbers;0;1457;1568;number;numbers;500,1500;0
firewall;numbers;1;36;23;number;numbers;3,0;1
firewall;numbers;1;64;49;number;numbers;7,1;2
firewall;words;3;145;245;word;letters;0,1,-1,5;0
firewall;words;3;1321;2145;word;letters;0,1,-1,1;0
firewall;words;3;32426;1324;word;letters;0,3,-1,6;0
firewall;words;4;mi sombra;la de otro;word;letters;2, ;1
firewall;words;4;una flor amarilla;una flor y una hoja;word;letters;3, ;1
firewall;words;4;semana;mes;word;letters;3,a;1
firewall;words;4;3464;1234;word;letters;3,4;1
firewall;words;3;caracol;camastro;word;letters;0,c,2,r;2
firewall;numbers;0;31;30;number;numbers;30,45;0
firewall;words;3;14256;8345;word;letters;0,1,2,2,4,6;2
firewall;words;3;furioso;enojado;word;letters;1,u,3,i;2
firewall;words;3;caminar;vestir;word;letters;-1,r,-2,a;0
firewall;numbers;5;141;151;word;numbers;6;1
firewall;numbers;5;99;88;word;numbers;18;1
firewall;numbers;6;1234;567;word;numbers;-1,-2,7;2
firewall;numbers;6;3024;2988;word;numbers;0,2,5;2
firewall;words;4;cálculo;combinatoria;word;letters;2,a;1
firewall;words;4;dos palabras;tres palabras;word;letters;1,e;1
firewall;words;4;rastrillo;urna;word;letters;1,u;1
firewall;numbers;0;1002;1022;number;numbers;920,1020;0
